,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_vis,Label
0,0.474017233,0.251514405,-0.142690092,0.999976516,0.476500422,0.24210538,-0.141993076,0.999983311,0.478386819,0.241543412,-0.142023101,0.999973536,0.480327129,0.24109894,-0.142084226,0.999985933,0.472914308,0.243340075,-0.130730778,0.999969959,0.472174883,0.243595973,-0.130719975,0.999922633,0.471535385,0.243842572,-0.130753905,0.999935627,0.487090051,0.242064029,-0.125423238,0.999990225,0.476878107,0.245172411,-0.074576952,0.999924779,0.480101109,0.259043813,-0.136145264,0.99999249,0.475435644,0.260053873,-0.121320665,0.999974608,0.50866735,0.283765197,-0.137811288,0.999996305,0.486520588,0.29010427,-0.008352884,0.999611318,0.509985328,0.358180374,-0.155744806,0.997253597,0.496070147,0.35091123,0.011754007,0.151921108,0.49782443,0.413097411,-0.15943782,0.994176388,0.484603345,0.397592843,-0.033102099,0.326562554,0.498138517,0.431668699,-0.180603489,0.984887719,0.480864346,0.411764681,-0.040222719,0.277276516,0.492710054,0.429122895,-0.182410374,0.98604089,0.480765343,0.408745199,-0.056247927,0.294000655,0.492900848,0.423733532,-0.160224602,0.975901604,0.482629448,0.406985521,-0.04141311,0.3131814,0.519560933,0.378112972,-0.04076612,0.999950886,0.502836645,0.376099259,0.04081763,0.999896049,0.493493378,0.451128215,-0.105676517,0.573499501,0.482064784,0.429763526,-0.028880844,0.36702916,0.499105066,0.512229979,-0.033962883,0.601724863,0.49364081,0.498916805,0.04374392,0.287508398,0.503956497,0.5206815,-0.028680388,0.611553848,0.499484777,0.509991467,0.049403809,0.313808888,0.488747507,0.534359992,-0.061681319,0.592151344,0.480157912,0.523335993,0.018530117,0.291662186,back foot punch
1,0.472944319,0.249559596,-0.124286771,0.999952316,0.475619376,0.23976779,-0.126271397,0.999962509,0.47742185,0.239116102,-0.126309186,0.999946773,0.479262531,0.238572866,-0.126374155,0.999968886,0.472311109,0.24125497,-0.113087393,0.999930024,0.471683353,0.241574243,-0.113073789,0.999853373,0.471093595,0.24184908,-0.113101363,0.999874711,0.48658663,0.240269467,-0.117406406,0.999977589,0.476881176,0.242835104,-0.058426164,0.999816537,0.478334367,0.256984562,-0.120213255,0.999987781,0.474507749,0.258443058,-0.103032134,0.999958575,0.506584167,0.282717526,-0.136835322,0.999996305,0.485429436,0.290555626,0.012350296,0.99962461,0.507438838,0.358139545,-0.155744821,0.997011125,0.493741512,0.351316035,0.041728072,0.173264921,0.496427,0.416529238,-0.161890686,0.993837297,0.481507599,0.394580215,-0.008123527,0.357899368,0.498135507,0.437211365,-0.183935925,0.984688997,0.477582514,0.405610502,-0.01528213,0.310542107,0.492650747,0.435203463,-0.187758535,0.985826552,0.476801872,0.401937813,-0.032717504,0.327773094,0.492855072,0.429236829,-0.163152009,0.97563833,0.479255736,0.397534311,-0.01701114,0.343622684,0.522361815,0.385982811,-0.045811594,0.999952078,0.504511178,0.384261012,0.045840263,0.999885023,0.494938701,0.468731552,-0.11838764,0.583666682,0.48662743,0.455169976,-0.00784317,0.34955582,0.50175035,0.548915923,-0.051844187,0.616331935,0.493615061,0.536675513,0.052839428,0.282941759,0.507731259,0.559634626,-0.04695474,0.62451154,0.499098837,0.550857067,0.056988727,0.309852719,0.488755524,0.576980948,-0.084524952,0.611492336,0.479105324,0.561661482,0.021766022,0.298079669,back foot punch
2,0.472216994,0.249140725,-0.102157429,0.9998703,0.474641383,0.23914513,-0.105520152,0.999889612,0.476076901,0.238494918,-0.105559051,0.999859571,0.477547556,0.23797062,-0.105612412,0.999906778,0.472096026,0.240623087,-0.091541909,0.999814391,0.47162661,0.240880564,-0.091529086,0.999681115,0.471097887,0.241102576,-0.091565847,0.999720037,0.485626519,0.239766523,-0.102791689,0.999929905,0.477152884,0.24185808,-0.04014625,0.999534607,0.477124989,0.256456792,-0.100368895,0.999970436,0.474122584,0.257769823,-0.08217559,0.999906898,0.503584743,0.282741308,-0.127634585,0.99999553,0.485162646,0.290756047,0.02740846,0.99961561,0.50488776,0.358058453,-0.145271227,0.995554626,0.492147505,0.351332843,0.056000493,0.182665572,0.495761931,0.41696164,-0.149113148,0.990122318,0.479594231,0.3926754,0.005452066,0.371236026,0.498088032,0.436504751,-0.169197768,0.980172634,0.475643158,0.402492315,-0.00061461,0.327763677,0.492674172,0.434353858,-0.172964364,0.981397688,0.474647909,0.398894876,-0.01745015,0.344929576,0.492854416,0.428526521,-0.150149032,0.969068289,0.47718066,0.394267261,-0.003252523,0.358204007,0.522643685,0.389707834,-0.048261944,0.999952793,0.505093098,0.386996299,0.048276771,0.999868214,0.49612993,0.470247,-0.117569044,0.612329841,0.486391246,0.456401736,0.017018992,0.336616307,0.504560471,0.552202344,-0.059103865,0.645053566,0.4931086,0.536287665,0.083477192,0.283490747,0.511484742,0.562959194,-0.054773647,0.649447441,0.498471349,0.550401986,0.088343337,0.313738078,0.487653643,0.58075279,-0.092131637,0.641485155,0.478234708,0.564860225,0.058081247,0.313631952,back foot punch
3,0.471793592,0.248506352,-0.105353616,0.999655366,0.473954588,0.238476068,-0.109612599,0.999704897,0.475230396,0.237912476,-0.109652318,0.99965477,0.476715416,0.23743701,-0.109708712,0.999765098,0.471876442,0.239855453,-0.095169544,0.999521911,0.471549213,0.240094796,-0.095153183,0.999215961,0.471094668,0.240333796,-0.095196702,0.999276519,0.484734684,0.23945047,-0.108231649,0.999819338,0.477108896,0.24161543,-0.043844674,0.998668671,0.476318508,0.255966872,-0.104034998,0.999925375,0.473632991,0.25723806,-0.085180931,0.999745727,0.503017128,0.282425404,-0.128478676,0.999994636,0.48367399,0.291385889,0.026968002,0.999514997,0.504175723,0.357779533,-0.146423221,0.994874656,0.490260541,0.352452815,0.057405699,0.189945534,0.495126247,0.419133127,-0.15346238,0.988086462,0.478955746,0.392809451,0.011060113,0.37552917,0.49780947,0.437540561,-0.174204797,0.977750421,0.475745291,0.403948367,0.006008251,0.333801776,0.492329597,0.435816139,-0.180286035,0.97896719,0.474681944,0.400491893,-0.011073706,0.350584149,0.492461264,0.429677427,-0.154985845,0.96486187,0.477013767,0.396328986,0.002369598,0.361216754,0.522567332,0.392478824,-0.051442962,0.999949455,0.505149305,0.390664756,0.051461477,0.999807,0.497437805,0.476934105,-0.110989109,0.644768357,0.484381825,0.467798352,0.05113722,0.331357807,0.507491052,0.567292511,-0.065490745,0.6761356,0.492750883,0.54945308,0.118148163,0.288525313,0.510622859,0.579514503,-0.063129462,0.675749183,0.498408645,0.564270079,0.122871816,0.320353121,0.487620652,0.588187158,-0.104852296,0.672096133,0.477322668,0.574960947,0.0937263,0.328962564,back foot punch
4,0.470755994,0.248576701,-0.097057134,0.999391794,0.473003626,0.238561735,-0.101706848,0.999509811,0.474226952,0.238005728,-0.101748228,0.999417484,0.475577414,0.237557918,-0.101810277,0.999611914,0.471169293,0.239910364,-0.086811908,0.999235272,0.470993936,0.240132436,-0.086794481,0.998711467,0.470703512,0.24035649,-0.086841121,0.998864353,0.483701169,0.239521891,-0.100943781,0.999705732,0.476875722,0.241480365,-0.034081317,0.997964203,0.475292921,0.25605309,-0.095578685,0.999859214,0.472655594,0.257257193,-0.076175176,0.999561071,0.501087725,0.28241387,-0.127649635,0.999993086,0.48276034,0.291365385,0.040107001,0.99942553,0.503445208,0.357778937,-0.145696893,0.99369961,0.489894301,0.3532148,0.070531443,0.188858554,0.4944098,0.419676334,-0.149606735,0.984329045,0.479405642,0.392804921,0.020309437,0.369538963,0.497025013,0.438706547,-0.170135647,0.973150671,0.475876242,0.404485315,0.015150796,0.331826031,0.491784245,0.437322915,-0.17515716,0.97437501,0.474619061,0.401305735,-0.00269225,0.348305076,0.49164781,0.431279033,-0.150915965,0.957809329,0.476894706,0.397525519,0.011185599,0.357398003,0.522616506,0.394873679,-0.053372491,0.999940515,0.505290866,0.392877609,0.053388726,0.999741137,0.497398704,0.482460707,-0.121357121,0.6712327,0.484240234,0.475243449,0.021241346,0.322148919,0.509512246,0.579740286,-0.086252376,0.702436745,0.497948825,0.564762712,0.081425548,0.289928734,0.511334538,0.58952117,-0.084343843,0.698463857,0.505411148,0.580395222,0.088858381,0.323774457,0.490902007,0.613863826,-0.126087159,0.698615789,0.477395445,0.589959145,0.06831257,0.337474197,back foot punch
5,0.469302893,0.249107093,-0.090204403,0.999286056,0.471423924,0.239340872,-0.097150706,0.999423444,0.472510189,0.238720194,-0.097182766,0.999331176,0.47369796,0.23820816,-0.097229593,0.999559522,0.469966173,0.240447238,-0.080717273,0.999125659,0.46996212,0.240466461,-0.080703154,0.998544931,0.469893157,0.240507379,-0.080755867,0.998706937,0.482109845,0.239802822,-0.104281627,0.999661803,0.476630509,0.241575494,-0.031645253,0.997705042,0.473984808,0.256636053,-0.091798365,0.999838233,0.471678108,0.257777214,-0.07047125,0.999486923,0.500798345,0.282253325,-0.134205922,0.999993205,0.482826173,0.291083068,0.043245319,0.999381185,0.504241645,0.356973439,-0.156790465,0.993831813,0.490633339,0.354245514,0.074674055,0.186613664,0.49450618,0.419910699,-0.161220163,0.984796107,0.479789644,0.39616403,0.029200923,0.365749776,0.496927917,0.439429134,-0.183168799,0.973968625,0.476251513,0.412424564,0.025861334,0.329808265,0.491507709,0.437583447,-0.186690778,0.975035429,0.475248158,0.409620762,0.007750855,0.345541596,0.491482079,0.431467384,-0.16181384,0.958311737,0.477465212,0.404081017,0.020072274,0.35359773,0.523028433,0.397743702,-0.057063986,0.999934852,0.506946146,0.396514386,0.057082128,0.999665618,0.498382896,0.487974197,-0.118694529,0.700799525,0.483934641,0.474999279,0.042462498,0.328210652,0.509775281,0.59459728,-0.09538883,0.730340421,0.497240126,0.564691305,0.096300125,0.302626997,0.513441086,0.601042628,-0.095634468,0.724401772,0.504697978,0.580434859,0.09987554,0.338747382,0.489926755,0.614270627,-0.141427025,0.726366878,0.477499962,0.584541082,0.072066844,0.359111398,back foot punch
6,0.468285739,0.249889106,-0.105758905,0.999230504,0.470676839,0.240228206,-0.106976986,0.999373078,0.471897215,0.239490762,-0.10701672,0.99927783,0.473236084,0.23885867,-0.107083835,0.999523401,0.468996465,0.241187885,-0.095295332,0.999068081,0.468988419,0.241038382,-0.095281944,0.998449743,0.468979895,0.240923434,-0.095322989,0.99861145,0.481431872,0.239941344,-0.111650884,0.999622643,0.476063192,0.241672158,-0.042977769,0.99748373,0.473370939,0.257469803,-0.103297509,0.999812603,0.470786154,0.258597523,-0.08572901,0.999410033,0.499629349,0.28225857,-0.144733384,0.999993086,0.482763827,0.291060954,0.038168881,0.999330342,0.504652143,0.356978953,-0.168237373,0.993933618,0.491044998,0.355562896,0.073362522,0.184715644,0.494629145,0.42478168,-0.175830483,0.985170245,0.480107397,0.398827285,0.024606805,0.369073838,0.49694714,0.444878161,-0.198372751,0.97462821,0.476403624,0.415421426,0.021145502,0.33518067,0.491532475,0.443093926,-0.201991826,0.975609303,0.47509703,0.412742585,0.002003607,0.350839555,0.491524875,0.436133444,-0.176599532,0.958707988,0.477425873,0.407023996,0.015100636,0.357662648,0.52327472,0.398834407,-0.0592326,0.999926269,0.508195281,0.398377568,0.059251446,0.999586701,0.497075975,0.492290378,-0.118718073,0.726406157,0.483902454,0.480192184,0.037978139,0.332043886,0.511053205,0.599689066,-0.102630779,0.755466402,0.498013675,0.57296896,0.090252288,0.316920549,0.515417576,0.608197272,-0.10318695,0.746713042,0.505940795,0.588737011,0.093357205,0.353713959,0.489504576,0.618187129,-0.150215641,0.75153935,0.478445828,0.593578041,0.063460335,0.381227136,back foot punch
7,0.468326896,0.251346916,-0.127412379,0.999268115,0.470536649,0.241439313,-0.129957423,0.999401391,0.47182712,0.240695044,-0.129989475,0.999308228,0.473231316,0.240038276,-0.130037859,0.999541759,0.46856308,0.242317602,-0.115400985,0.999123037,0.46839875,0.242121533,-0.115387022,0.998534322,0.468245268,0.241958171,-0.115426764,0.998683095,0.481241524,0.240507081,-0.118435048,0.999631703,0.474505752,0.242255852,-0.048202675,0.997600377,0.473478854,0.258677542,-0.120575644,0.999808013,0.470515102,0.259771734,-0.101250723,0.999412894,0.498837948,0.282123864,-0.1445252,0.999993026,0.482378542,0.290055186,0.037257351,0.99933511,0.504493117,0.356955975,-0.165440768,0.994053721,0.491281211,0.356589139,0.075318597,0.186010003,0.495503843,0.42447874,-0.175484747,0.9856354,0.480311215,0.402776629,0.023895441,0.382591814,0.497116894,0.44490841,-0.197732359,0.97533685,0.477974236,0.419276208,0.020577583,0.349913776,0.492315918,0.442964047,-0.201707125,0.976267517,0.475358307,0.417226493,0.000854106,0.365721136,0.492071241,0.43625313,-0.176369801,0.959420979,0.477679312,0.411304682,0.014368216,0.371091753,0.523174465,0.398614556,-0.059473503,0.999916255,0.509272516,0.397493988,0.059500031,0.99952668,0.496419758,0.495987207,-0.116861761,0.746973634,0.485491425,0.483137131,0.037489448,0.336901277,0.510736287,0.599983275,-0.107591033,0.777320862,0.500138879,0.573531866,0.086296067,0.327854395,0.51548177,0.611671686,-0.109273776,0.766631126,0.508805931,0.594087541,0.088918701,0.368617713,0.488732815,0.619697332,-0.156914666,0.7734586,0.480657965,0.594878912,0.0592422,0.398523808,back foot punch
8,0.468398422,0.252423316,-0.143262684,0.999334216,0.470482677,0.242213801,-0.142842844,0.99945426,0.471914142,0.241412058,-0.142867535,0.999368548,0.473505586,0.240628079,-0.142906755,0.999580562,0.467943013,0.243241623,-0.129445642,0.999203742,0.467532456,0.243128911,-0.129430041,0.998667836,0.467110962,0.243048251,-0.12945655,0.998800755,0.481511593,0.240821794,-0.118368745,0.999661446,0.472480148,0.243393213,-0.055373441,0.997811258,0.473644733,0.259676456,-0.132104084,0.999819458,0.470214546,0.260884732,-0.11466334,0.999452531,0.497515738,0.282676011,-0.142884582,0.999993145,0.482016325,0.290005654,0.039974503,0.999356329,0.503657639,0.358320355,-0.151955262,0.994210005,0.491488636,0.356925577,0.082348742,0.192566127,0.495531142,0.426925331,-0.161585271,0.986363471,0.479647815,0.402007639,0.029631341,0.412222058,0.497163236,0.447636127,-0.18190819,0.976432323,0.473975748,0.417859346,0.027291436,0.381085217,0.492523491,0.445484757,-0.186364397,0.977347791,0.475357831,0.41582948,0.007043779,0.397007525,0.492127359,0.438533753,-0.16222164,0.961082578,0.474538267,0.410189986,0.020153513,0.399617314,0.523065209,0.398932099,-0.05990871,0.999912679,0.51016891,0.397249997,0.059919465,0.999492347,0.495132267,0.498149663,-0.113709949,0.767234385,0.485382617,0.48439616,0.057602607,0.34552595,0.510591865,0.602354467,-0.096390516,0.797564745,0.502591252,0.569775462,0.119801462,0.340557545,0.515797734,0.614628196,-0.097077519,0.785161018,0.51118505,0.58415401,0.123640202,0.386089891,0.488408029,0.620788217,-0.14092657,0.793791056,0.481749624,0.593053102,0.100124225,0.418072551,back foot punch
9,0.467434883,0.252702236,-0.126018375,0.999328315,0.46950978,0.242427126,-0.128872588,0.99944073,0.470878035,0.241683349,-0.128895998,0.99935025,0.47238335,0.240950227,-0.128926337,0.999566317,0.467000544,0.243321419,-0.113104306,0.999207854,0.466612011,0.243177965,-0.113082886,0.998670876,0.466209024,0.243073761,-0.113116682,0.998800159,0.480508715,0.241009414,-0.114388302,0.999638021,0.471848011,0.243406132,-0.046644013,0.997796774,0.472542197,0.260048836,-0.119317494,0.999790847,0.469165474,0.261027962,-0.099296309,0.999400675,0.495698601,0.283259779,-0.142051011,0.999992549,0.481692135,0.289635032,0.04690918,0.999342263,0.503806889,0.358710259,-0.157376081,0.994230449,0.491600126,0.357650071,0.088908635,0.190414414,0.496088982,0.428488165,-0.16530171,0.9867962,0.479797512,0.402906626,0.038005598,0.428759962,0.497717381,0.450038821,-0.186144635,0.977087736,0.474082649,0.417057544,0.035812538,0.400000632,0.493228823,0.447786868,-0.18979238,0.977943301,0.475411117,0.415238142,0.015481812,0.416016161,0.492657095,0.440914571,-0.165703952,0.961884499,0.474677265,0.410021335,0.028237065,0.416852117,0.522569597,0.399013489,-0.060683459,0.999892056,0.510117173,0.397361666,0.060695983,0.999421835,0.494058669,0.497106761,-0.11164359,0.784076095,0.48529464,0.485348225,0.037413556,0.351508468,0.511441708,0.603177071,-0.092604257,0.8142699,0.504113734,0.57794404,0.111254469,0.348023176,0.51710093,0.616093934,-0.092837892,0.799135864,0.512298942,0.593847752,0.105626024,0.396335214,0.488412619,0.623554647,-0.133577913,0.810103416,0.483933061,0.599099815,0.085108034,0.428837419,back foot punch
10,0.465341002,0.253504694,-0.082560368,0.999278843,0.467292309,0.243015543,-0.091022626,0.999398887,0.468527734,0.242268354,-0.091046177,0.999315977,0.469831526,0.241532132,-0.09107285,0.999545038,0.465219736,0.243828371,-0.073203698,0.999161661,0.465026468,0.243633106,-0.073189139,0.998630524,0.464828789,0.243448496,-0.073234394,0.998768985,0.477789074,0.241353735,-0.104221091,0.999618113,0.471095651,0.243591309,-0.02587316,0.997814298,0.470420539,0.2609936,-0.086272217,0.999770164,0.467562586,0.261906594,-0.063378967,0.999353945,0.494410127,0.283709258,-0.142773405,0.999992669,0.481359392,0.289670378,0.054131187,0.999365866,0.503565907,0.359324276,-0.161365107,0.994315863,0.491627306,0.35849902,0.091826655,0.191318035,0.495927632,0.427816868,-0.16345869,0.987322927,0.479495198,0.403664351,0.047886945,0.436624765,0.497546256,0.448368788,-0.184099048,0.977887511,0.474603027,0.416671365,0.047215138,0.408148706,0.493222862,0.4462156,-0.185326442,0.978621781,0.47552672,0.415020615,0.028441617,0.423727602,0.492641538,0.439974606,-0.162841052,0.962761879,0.475387007,0.409851044,0.038629569,0.423298925,0.521628618,0.399106145,-0.060990978,0.999874711,0.50986284,0.397361845,0.061011381,0.999367416,0.493815511,0.498925984,-0.092769504,0.798985481,0.485492527,0.486868411,0.051054649,0.357598513,0.511572421,0.600450277,-0.066227369,0.828546941,0.50403887,0.577069998,0.104607582,0.348637044,0.517279744,0.61318177,-0.065376028,0.812332869,0.511896968,0.592909873,0.106882855,0.40118444,0.488847494,0.620742738,-0.101616576,0.823319614,0.484832138,0.597071767,0.085764065,0.432448208,back foot punch
11,0.464813381,0.254239202,-0.081858225,0.999192476,0.4664599,0.243489325,-0.090471171,0.999319315,0.467559874,0.242760167,-0.09049882,0.999243617,0.468682945,0.242064744,-0.090529509,0.999500096,0.464779913,0.244176224,-0.072496317,0.999059677,0.464707047,0.243918329,-0.072478905,0.998505473,0.46459946,0.243672237,-0.072521694,0.998660028,0.476173073,0.241734847,-0.104406118,0.999582231,0.47075215,0.243644759,-0.024953164,0.997713864,0.469654173,0.26168862,-0.085681327,0.999738455,0.467112452,0.262425512,-0.062493443,0.999269605,0.493164063,0.284139097,-0.14531678,0.999992847,0.481422722,0.288986325,0.056561001,0.999382079,0.503467441,0.359301299,-0.166154936,0.994417489,0.491657257,0.358268023,0.096246794,0.188754499,0.495928675,0.429218084,-0.164695725,0.987917781,0.479626238,0.402626842,0.053122051,0.443873823,0.497192562,0.449801385,-0.185573906,0.978863537,0.47461471,0.413235724,0.053237587,0.416433275,0.493197739,0.449017853,-0.185631931,0.979484618,0.474960029,0.412360817,0.033674005,0.431650609,0.492619812,0.441743374,-0.1637045,0.963931441,0.475277185,0.408124894,0.043526653,0.430018485,0.521251321,0.399752349,-0.062052645,0.99986285,0.510113597,0.397596627,0.062089313,0.999322295,0.493023962,0.49853915,-0.098686434,0.813879311,0.485697329,0.486704409,0.046323173,0.366843581,0.511497617,0.600552082,-0.06720832,0.842613816,0.503858685,0.578330278,0.098087154,0.357010424,0.517521203,0.613588274,-0.066875778,0.825317621,0.512188137,0.592679143,0.101056173,0.413613141,0.488084376,0.622919619,-0.10547445,0.836879373,0.484525144,0.597754598,0.078500345,0.444532663,back foot punch
12,0.463286936,0.258212119,-0.077511422,0.999161661,0.464425653,0.24757351,-0.085433967,0.999291062,0.465407789,0.246736422,-0.085463025,0.999222517,0.466461837,0.245837167,-0.085490972,0.999488652,0.463053793,0.248253882,-0.068040535,0.999017239,0.463095814,0.247917712,-0.068024054,0.99846065,0.463124692,0.247506097,-0.068061903,0.998622596,0.474012196,0.244152084,-0.097440988,0.999570191,0.469161183,0.246206582,-0.020399388,0.997708857,0.468024582,0.264880657,-0.080483958,0.999721587,0.465905964,0.265524864,-0.058113992,0.999228179,0.492399365,0.2844477,-0.141621321,0.999992967,0.480770975,0.289269686,0.061728846,0.999400258,0.503233016,0.35895887,-0.164281875,0.994584501,0.490957409,0.358232677,0.101671085,0.18912439,0.495619237,0.430255771,-0.164378777,0.988515794,0.478548825,0.400436074,0.057077736,0.456955791,0.496903092,0.451351762,-0.185153633,0.97977525,0.472817481,0.408265769,0.057219833,0.430270731,0.492881864,0.452423185,-0.184622437,0.980292678,0.472046047,0.407343537,0.037809007,0.445158035,0.492254406,0.44475475,-0.163049892,0.965119302,0.474110186,0.405897617,0.047559414,0.442133933,0.5208233,0.400314152,-0.061989088,0.999846399,0.509897113,0.397764891,0.062036943,0.999261379,0.491687149,0.497454613,-0.098088846,0.82374984,0.487205446,0.487665594,0.039937805,0.369166583,0.511337996,0.601008356,-0.069255903,0.853722095,0.506288886,0.58096236,0.08111719,0.360177428,0.517400503,0.614930928,-0.070891604,0.836301088,0.514147818,0.595062256,0.082716301,0.422497094,0.486851841,0.619155884,-0.106326677,0.847577572,0.485556215,0.598168135,0.058584422,0.451465309,back foot punch
13,0.461688608,0.260817766,-0.088374689,0.999129236,0.462435812,0.250269622,-0.095986873,0.999243796,0.463391393,0.249496594,-0.09601403,0.999184966,0.464421213,0.248654112,-0.096046135,0.999462724,0.461286962,0.250786811,-0.078934759,0.998967469,0.461433977,0.250406802,-0.078925937,0.998419046,0.461582273,0.249928564,-0.078967735,0.998590171,0.472067297,0.246666446,-0.097733356,0.999533772,0.467506975,0.248354807,-0.029222647,0.997686207,0.466353506,0.267430931,-0.090261936,0.999695897,0.464589655,0.268010587,-0.068321019,0.999179006,0.492721409,0.285679102,-0.144247279,0.99999249,0.47802791,0.289602995,0.052211039,0.999426782,0.502308428,0.360055625,-0.166586205,0.9946931,0.48914361,0.358066559,0.089943044,0.201391757,0.492622465,0.432442307,-0.165113062,0.988757491,0.475767702,0.398119807,0.043131348,0.480650365,0.493823439,0.452815831,-0.185764849,0.980037153,0.47137174,0.405907273,0.041523192,0.45298633,0.49033165,0.453911424,-0.185825214,0.980441451,0.470361769,0.404561102,0.022451855,0.467528731,0.489861012,0.447719455,-0.16411826,0.965233684,0.471835554,0.401627392,0.03378373,0.462804347,0.520699799,0.399722219,-0.06140982,0.999836981,0.508290589,0.397538155,0.061454535,0.999259531,0.491430432,0.496997535,-0.100379325,0.833952606,0.486964315,0.488625497,0.027970936,0.377699107,0.511171579,0.599598706,-0.079080544,0.865005612,0.505438745,0.581755221,0.065561406,0.373544425,0.517811418,0.615050852,-0.080054902,0.846957803,0.513876617,0.596500218,0.067163274,0.436852127,0.486361831,0.621011794,-0.120433047,0.858614504,0.485148907,0.601051867,0.038876101,0.465892017,back foot punch
